name,id,city,state,lat,lon,score,rank,rank2,globalScore,country
"Motel 6 - Anaheim Hills, CA",43276,Anaheim, California,33.85931081,-117.78951331,174838.34,11.928693,55.31437301635742,30.0,US
The Keating Hotel,10051304,San Diego, California,32.7136,-117.160775,400617.88,12.096118,97.82096099853516,1.0,US
Worldmark San Diego - Balboa Park,51721303,San Diego, California,32.7191376,-117.1543829,400614.78,1.0,97.81724548339844,30.0,US
Cottage BY The Sand,80626204,San Diego, California,32.753698,-117.24851,400614.62,1.0,97.81724548339844,30.0,US
"Spacious Guest House, Pool & Spa, Close TO Beach!",91219003,San Diego, California,32.808731,-117.245405,400613.7,0.5,97.81620025634766,1.0,US
Luxury Ocean & Canyon Views Near Downtown,116383803,San Diego, California,32.73297,-117.16729,400613.7,0.5,97.81620025634766,1.0,US
Mb-3775 - North Mission Magic,86201106,San Diego, California,32.78419,-117.25367,400613.7,0.5,97.81620025634766,30.0,US
Best Western Seven Seas,43086,San Diego, California,32.7609,-117.1664,382005.3,12.0396385,78.76022338867188,30.0,US
Days Inn BY Wyndham San Diego Hotel Circle Near Seaworld,44170,San Diego, California,32.7606,-117.167544,379971.16,13.175812,76.91384887695312,30.0,US
Hilton San Diego Mission Valley,39509,San Diego, California,32.764299,-117.156071,378558.7,14.676925,75.65705871582031,30.0,US
Trinity BY Luxurban,172917303,Los Angeles, California,34.04505,-118.25929,400598.16,0.5,97.86216735839844,1.0,US
The Los Angeles Athletic Club,3238405,Los Angeles, California,39.20582061,-106.95364246,400562.16,11.824474,97.82093048095703,30.0,US
Chateau Marmont,41313,Los Angeles, California,34.097786,-118.368316,400561.97,12.022253,97.82096099853516,1.0,US
Eagle Rock Motel,17476603,Los Angeles, California,34.130334,-118.188844,400561.97,12.225391,97.82097625732422,30.0,US
The Delphi Hotel,2556003,Los Angeles, California,34.050389,-118.257311,400561.9,11.810301,97.8209228515625,1.0,US
Cozy Hollywood GET Away,101370904,Los Angeles, California,34.099668,-118.308387,400558.72,1.0,97.81724548339844,30.0,US
Sycamore Villa,68975105,Los Angeles, California,34.06864744,-118.34321061,400558.72,1.0,97.81724548339844,30.0,US
Deluxe Suites I 5min TO Venice Beach I Free Parking!,42913903,Los Angeles, California,33.99471533,-118.43803526,400558.72,1.0,97.81724548339844,30.0,US
Fashion Loft 2 Bedroom Downtown,119753003,Los Angeles, California,34.04271,-118.25375,400557.78,0.5,97.81620025634766,30.0,US
Beech Knoll,158335503,Los Angeles, California,34.10873,-118.37516,400557.78,0.5,97.81620025634766,1.0,US
Canopy BY Hilton San Francisco Soma,119938704,San Francisco, California,37.782386,-122.402097,400679.44,1.0,97.81724548339844,30.0,US
"Beacon Grand, A Union Square Hotel",40550,San Francisco, California,37.788768,-122.408532,400658.5,16.019691,97.8213882446289,30.0,US
Buena Vista Motor Inn,2185903,San Francisco, California,37.8009,-122.427799,400658.28,13.492216,97.82112884521484,30.0,US
Elite Inn,31152804,San Francisco, California,37.7831655,-122.4112249,400658.12,11.862455,97.82093811035156,30.0,US
LUZ Hotel,40959206,San Francisco, California,37.78617518,-122.41530668,400658.12,11.836448,97.82093048095703,30.0,US
Civic Center Motor Inn,43023,San Francisco, California,37.772861,-122.410534,400658.12,11.862965,97.82093811035156,30.0,US
Aldrich Hotel,41391104,San Francisco, California,37.78543568,-122.41294026,400658.12,11.840854,97.82093048095703,30.0,US
Hotel Amari,42559,San Francisco, California,37.789009,-122.410939,400658.12,11.86696,97.82093811035156,1.0,US
Layne Hotel,2578205,San Francisco, California,37.786397,-122.41312,400658.06,11.810301,97.8209228515625,30.0,US
Jackson Court,3637305,San Francisco, California,37.792937,-122.431066,400658.06,11.810301,97.8209228515625,1.0,US
